,index,walk_id,title,summary,lat,lng
33,33,3,The Mildura Wharf,Mildura Wharf has been a vital part of the town and inland river transport system since the 1880s. It was established by the Mildura Progress Committee in 1888 to assist the burgeoning river trade.,-34.1831733,142.16634149
34,34,3,Railway overpass,A short walk across the railway overpass leads to Deakin Ave or head left down to the Hugh King Drive underpass to avoid the stairs.,-34.18308684,142.16521185
35,35,3,Prince and Princess of Wales Fountain Plaza,This fountain is very special as it was opened by the Prince and Princess of Wales on the 29th October 1985. Many Mildura residence crowded around to see the Princess Diana.,-34.18332571,142.16467286
36,36,3,War Memorial ,"To the left is a War Memorial commemorating those who served in Vietnam, Korea
and South East Asia.",-34.18334912,142.16461225
37,37,3,"Sculpture commemorating Alfred Deakin, Primie Minister of Australia and the initiator of the Mildura",Sculpted by Michael Meszaros and presented to the city to mark the centenary of the irrigation colony in 1987. The memorial represents  fruit blocks and irrigation channels as seen from the air. ,-34.1833602,142.16458121
38,38,3,The Grand Hotel (to the right),"Enter the Grand Hotel’s main entrance and turn left. To your right, you will see a display of historical photos. Through the glass doors are one of Mildura’s original Chaffey fountains.",-34.18351713,142.1641636
39,39,3,Commodore Motel former site of the Warren boarding house,"Back in 1888, this site was a early boarding house called the Warren. A plaque marking the site can be found at the entrance to the motel’s restaurant. The Warren was demolished in 1965.
",-34.18392536,142.16451843
40,40,3,WIN TV,"Originally STV8, opening in 1966 and next door is the Sunraysia Daily, the local newspaper.
",-34.184552,142.16377931
41,41,3,The Cultivator,"Mildura’s earliest newspaper was the Cultivator, begun in 1888. It was a
twice-weekly publication that moved to the current Sunraysia Daily site at
22 Deakin Avenue in 1912.",-34.18457895,142.16374769
42,42,3,Sunraysia Daily,"Local identity, C.J De Garis bought The Cultivator along with the Mildura
Telegraph and Merbein Irrigationist and merged them into one paper, the
Sunraysia Daily, in 1920.",-34.18459018,142.16373453
43,43,3,George and William Chaffey Building,"Across the road is a single story late Victorian, red brick building, with
a brick and iron palisade fence. The building was gifted to La Trobe Uni in 2009 by Don Carrazza.",-34.18467124,142.16363945
44,44,3,Electric Supply Department Substation No.1,"In the centre plantation, stands the Electric Supply Department Substation No.1, dating back to 1936, when the production of electricity was considered a local responsibility, rather than a state one.",-34.18488305,142.16339103
45,45,3,"Queen Elizabeth II visit to Mildura, March 25th, 1954","When Queen Elizabeth toured Mildura in 1954, a decorative dais was erected in this area of the plantation.  Pics of this day are displayed at the Carnegie Centre. Visit to Barclays Block in Red Cliffs",-34.18503122,142.16321607
46,46,3,"Bowring's Store, corner Deakin Avenue and 8th Street - Circa 1937","The site of the ANZ Bank was previously known as Bowring Corner and was the site of Bowring’s Store, opened in 1888. It extended into Langtree Avenue in 1961 but ceased business two decades later.
",-34.18505972,142.16272952
47,47,3,Old Mildura Post Office (LHS of Deakin Ave),"This corner building was for over a century, the Mildura Post Office. The earliest Post Office on this site was built in 1890, with much of the current building being erected in 1923. ",-34.18539044,142.1627847
48,48,3,George V Memorial Fountain (in centre plantation),"Crossing into the centre plantation, you will find the George V Memorial Fountain, originally erected in the gardens of the Rio Vista, home of W.B Chaffey, it was moved to its current position in 1936",-34.18544392,142.16272763
49,49,3,Mildura Law Courts (LHS of Deakin Ave),"Opened by Robert Hulls, Victoria’s Attorney General, on Nov 23 2004. This complex was built on the site that began as Washington Stores, before becoming Maples, before it all went up in flames in 1996",-34.18576121,142.16236065
50,50,3,70 Deakin Avenue (LHS of Deakin Ave),"Once the site of the Shire Offices, beginning as a modest, timber, two roomed building before the current building was erected in 1922. In 1971, the Shire Offices were relocated to Irymple. ",-34.18614633,142.16188736
51,51,3,Carnegie Centre - Home to the Historical and Genealogical Societies (LHS of Deakin Ave),"Constructed in 1908, as the Carnegie Library, courtesy of a 2000 pound grant made by Andrew Carnegie, in 1906, after a request from Lord Hopetoun. The tower was added in 1922 as a soldier memorial.",-34.186245,142.16176521
52,52,3,Civic Buildings  (LHS of Deakin Ave),"The Civic Buildings, opened in 1958 and it’s also the site of the original Shire Hall, also known as the Mildura Town Hall.",-34.18656212,142.16137632
53,53,3,Statue of W.B. Chaffey (in center  plantation),"In the center  plantation is a statue of W.B. Chaffey, who died in 1926. The Paul Mountford sculpture was unveiled in 1929. A similar sculpture can be found in Renmark, SA. ",-34.18670405,142.16120554
54,54,3,Desailly Rotunda (in center  plantation),"The centre  plantation is home to the Desailly Rotunda, named for Cr George Desailly, former Shire President, who died whilst in office in 1913.",-34.18660603,142.16132206
55,55,3,61 Deakin Ave - Mildura's earliest surviving building (RHS of Deakin Ave),"On the RHS of Deakin Ave is the earliest surviving building in Mildura. It started out as Mildura’s first general store, owned by H.B Williams, in 1887. A bank altered the building appearance in 1937.",-34.18604765,142.1620095
56,56,3,69 Deakin Ave (RHS of Deakin Ave),"Built in 1914, this  Edwardian building has been a restaurant, a bank, a real estate agency and other businesses, which although altered over the years, still retains some of its original charm.
",-34.18629834,142.16170105
57,57,3,Mildura Club (RHS of Deakin Ave),"The Mildura ""Gentlemen's Club"" began in 1890 with Lord Ranfurly as the first President. Meetings were originally held at the Coffee Palace, until this building was completed in 1920. ",-34.18682464,142.16109258
58,58,3,Deakin Cinema Complex  (RHS of Deakin Ave),"The Deakin Cinema complex was  established in 1975. A point of interest is that the cinema includes the original site of the Masonic Temple, built in 1907, with the façade still remaining. ",-34.18717927,142.16062025
59,59,3,Mildura Workingmans Club (LHS of Deakin Ave),"An iconic landmark, once famous for having the world’s longest bar (which was removed in recent renovations.). Begun in 1908, it was originally a 1 story structure with a 2nd level added in 1935. ",-34.18744262,142.1602677
60,60,3,Mildura Workingmans Club  War Memorial (LHS of Deakin Ave),"Has stood at the front of the club, since 1920, honoring Mildura’s war dead. The marble soldier is the work of A.D Thomson and the three-sided list of soldiers’ names underpins the heavy losses of WW1",-34.18746532,142.16024187
61,61,3,Methodist Church (LHS of Deakin Ave),"Opened in 1912, this unique church had a number of architectural influences, including Byzantine, Queen Anne, Masonic and Art Nouveau . Image: Methodist Church under construction 1911.",-34.18831339,142.15927694
62,62,3,The Church of Christ  (RHS of Deakin Ave),"Built in 1908, the Church of Christ was first organised by Reuben Mansell in 1890 and members met in a variety of venues until this building was completed using all voluntary labour. ",-34.18787876,142.15878865
63,63,3,War Memorial (centre plantation),Commemorates those who died or were killed in World War One. Erected by the Mildura Branch R. S. & S. I. L. A.,-34.18839149,142.15819056
64,64,3,Uniting Church / St Andrew’s  (RHS of Deakin Ave),"The Uniting Church, known as St Andrew’s, started out as a Presbyterian church and was built in 1914, at a cost of 2097 pounds. It replaced a wooden structure that had been there since 1891. ",-34.18920549,142.15729784
65,65,3,St Margaret’s Anglican Church (LSH of Deakin Ave),"This church opened in 1902, with the addition of the sanctuary in 1934 and the vestry and bell tower in 1957 that honours the lost soldiers of World War II.",-34.18952039,142.15768978
66,66,3,Madden Avenue ,"Madden Ave was originally planned to be the principal retail district of Mildura due to easy access to the wharf. However,  Langtree, with it’s proximity to the railway proved to be more significant",-34.19026169,142.15861732
67,67,3,Mildura RSL Sub Branch,"The Returned and Services League with some 1500 Sub Branches Australia wide and with a membership of 240,000 is the largest service association in Australia.",-34.18913686,142.15997189
68,68,3,Mildura Water Tower,"As you cross over 10th street, to your right you will see one of  Mildura's Water Towers. Built in 1957, the tower provides water pressure for thousands of homes across the urban area.",-34.18891499,142.16024011
69,69,3,Mecure Hotel ,"Commercial Hotel, commonly remembered as the Wintersun and now the Mecure Hotel was built in 1925",-34.18593745,142.16383964
70,70,3,Disused water tower,"Behind the hotel is a disused water tower, which from 1912 until 1957 operated as Mildura’s sole source of water storage. Instigated by the former First Mildura Irrigation Trust. 180000 litre capacity",-34.18570226,142.16412395
71,71,4,Under the Clocks,Melbourne's well known and iconic meeting place is under the clocks at Flinders Street Station. Sit on the steps and see the world go by. ,-37.81775223,144.96721165
72,72,4,Mirka Mora mosaic,"Mirka Mora made this mosaic in about 1985, it is brilliant. Do not be one of the thousands who walk past it every day without stopping. ",-37.81867716,144.9678153
73,73,4,To Birrarung Marr,"The slope down to Birrarung Marr, always fills with expectation. The sculpture of hundreds of red poles is a cracker. Go up and push the poles firmly, what a noise!",-37.81862957,144.96835377
74,74,4,Federation Square,"There always seems to be something happening at Fed Square whether it is concerts, buskers, festivals or people lolling about. The pavers are great to sit on on a sunny afternoon. ",-37.81803095,144.96819109
75,75,4,The Art Centre from Fed Square,Looking over to the Art Centre spire from Fed Square.,-37.81826778,144.96948266
76,76,4,Birrarung Marr playground,"The playground is always open. Watch kids play and enjoy the tube slides, sand pits, swinging hammocks, activity panels, rock and rope climbing features and balance beams.",-37.81817384,144.97133444
77,77,4,Art Play,Art Play is a great place for children it has lots of shows and creative activities for kids.,-37.81842082,144.97142583
78,78,4,Mosaic outside art play,"I do not know what the story is behind this brightly coloured mosaic outside Art Play, but it is wonderful. ",-37.81843198,144.97162369
79,79,4,Textured path,"The winding, textured pathway of cast iron acknowledges the significance of the eel as a traditional food source for groups camped by the river.",-37.81842658,144.971528
80,80,4,Watching rowers from Birrarung Marr,Sit on the seats under a shady tree watching rowers go by.,-37.81861151,144.97173697
81,81,4,To Princes Bridge,The gravel path on the river bank is a bit quieter. More seats and looking back to Princess Bridge. ,-37.8186351,144.97185557
82,82,4,West along the river,From 'Angel' you can get a good look along the Yarra River ,-37.81896412,144.97277994
83,83,4,Angel,"Angel (ceramic, steel and concrete) by Deborah Halpern is an artwork commissioned by the National Gallery of Victoria. It is even more impressive than the photo suggests. ",-37.81895244,144.97301726
84,84,4,Grassy hill for rolling,There should be more grassy hills like this one in the centre of cities. Watch the number of kids who are immediately drawn to it and roll down laughing.,-37.81803458,144.97380556
85,85,4,Walking up the slope to the bridge,The trees and shrubs set in the stone fence as you walk up the slope to the William Barak bridge. ,-37.81848684,144.97440371
86,86,4,William Barak bridge,"A purpose built walking (and cycling) space, William Barak bridge is one of true delights of Melbourne. Beautiful and functional.   ",-37.81832709,144.97679175
87,87,4,Listening to Proximities,"Proximities is a public art installation commissioned for the 2006 Commonwealth Games.  The stories and songs from 53 Commonwealth nations come out of the many, many speakers across the bridge. ",-37.81834507,144.9769408
88,88,4,Sit and watch Melbourne,Sit on the bridge and look south to the Yarra and Tennis Centre or north to the city and listen to the trains go by underneath.,-37.81840969,144.97780994
89,89,4,Off the bridge to the 'G',Coming off the bridge and walk to the MCG under the shade of magnificent old Elm trees.,-37.81866569,144.98000985
90,90,4,The MCG,"The MCG, what a collosseum. You don't realise how massive it is until you actually see it. Even if you don't like sport, the sound of the crowd cheering will grab your attention.",-37.81885613,144.98111314
91,91,4,Dennis Lillee,"Bronze statues do around the MCG, none more impressive than the great Dennis Lillee.",-37.81904332,144.98187585
92,92,4,Aussie Rules,Statue commemorating the first game of Australian Rules Football said to be played nearby on 7 August 1858.,-37.81880752,144.98220433
93,93,4,Jolimont Station,Its a beautiful the old train bridge. Catch a train (or tram) back to Flinders St or keep going. ,-37.81648432,144.98350297
94,94,5,Watt's Cottage,"Home to early settlers in Sorrento, this house was built in 1869. The Pioneer Memorial Garden is well tended with blooms all year round. Tours available (at limited times).",-38.34054845,144.73584164
95,95,5,Information boards and cafe,"Check out the information boards here for details about the history, local environment and features of the area. All Smiles Cafe located a short walk away from here.",-38.34551199,144.72681889
96,96,5,Surf's up,"A good spot to watch the surf, have a picnic, go for a swim, read a book or do whatever you please.",-38.34548235,144.72660135
97,97,5,Uphill climb towards the top,Definitely a steep climb uphill but the scenery from the top is very worthwhile. Get your heart rate up!,-38.34538353,144.72625773
98,98,5,Panoramic views,"A perfect spot to watch the sunset, or simply enjoy the sweeping panoramic views.",-38.34505623,144.72526604
99,99,5,Heading down to the beach,"Follow the track, which will eventually take you towards the beach.",-38.34316437,144.72111073
100,100,5,Fine sandy beach,Enjoy the salty sea breezes as you feel the sand under your feet on this beautiful stretch of coastline. ,-38.34156282,144.71668977
101,101,5,Portsea Surf Lifesaving Club,You can take a detour here if you need a toilet stop.,-38.33542809,144.70425765
102,102,5,'London Bridge',A great spot to explore the rockpools and wander under the 'London Bridge' (but not during high tide of course). You can continue along the beach all the way to Point Nepean if you like.,-38.33035347,144.69404522
103,103,5,Public toilets and drinking fountain,Phew! It's a pretty steep ramp that leads you up here. A convenient toilet stop and a chance to top up your water bottle before heading off again. ,-38.3295251,144.69499469
104,104,5,Start of Wilson's Folly Track,There's a sign a near the car park marking the start of the track. Apparently Capt R Wilson simply lit a match wherever he thought the bush needed to be cleared for the army\'s weapons training areas.,-38.32825967,144.69577002
105,105,5,Looking out to the sea,Listen out for the twitter of small birds in this fabulous bit of coastal bushland overlooking the sea.,-38.32624464,144.69165766
106,106,5,Unexploded bombs,"A former weapons training area. ""All large unexploded ordinance has been removed but you may come across small arms such as rifle and pistol shells,"" which of course, you shouldn't touch.",-38.32144469,144.69648537
107,107,5,Point Nepean Visitor Centre,The visitor centre has plenty of local information and maps of the area. You can take a tour to the historical Fort Nepean (a buggy can transport you there). Public toilets and BBQ available here.,-38.31870845,144.70297928
108,108,5,Mighty high fences,You can take a short detour down to the beach via Cove Ave. Clearly residents here like their privacy but it's such a shame that the street is marred by these enormously high walls and fences.,-38.31894485,144.70458036
109,109,5,Nature strip plantings,"Thankfully, there are patches of wonderful plants to enjoy as you walk down the street.",-38.31901562,144.70505969
110,110,5,A little bit arty,... and even a bit of art to give some of these high walls a little bit of character.,-38.3191189,144.70575917
111,111,5,On the other side,Across the road are a row of charming cottages that reminds us of how the area used to look before the high walls and fences came along.,-38.31923424,144.70654032
112,112,5,Bus stop,"You can catch bus number 788 back to Sorrento, or all the way back to Frankston along point Nepean Road. ",-38.31931725,144.70710254
113,113,6,Boardwalk near fishing platforms,The boardwalks starts along the path just past the carpark on Lakeside Drive. A few fishing platforms go off the boardwalk.,-37.54919735,149.7570991
114,114,6,Wetlands,"The inlet is on one side of the boardwalk and wetlands on the other, both have an abundance of birdlife and aquatic life.",-37.54939497,149.75700563
115,115,6,The shared path,The shared path is very popular with walkers and bike riders alike and is in pretty good condition.,-37.55145333,149.75589918
116,116,6,Pelicans and piers,There are many little jetties dotted along the path and it is hard not to spot a pelican or two perched on many of them.,-37.55366176,149.7536224
117,117,6,Raised boardwalks,The wonderful raised boardwalk provides a shady spot to look out to the inlet.,-37.55482476,149.75184366
118,118,6,Mallacoota harbour,"Old and new, big and small boats (but nothing too flash!) in the Mallacoota harbour.",-37.55666778,149.75451385
119,119,6,Coull's Inlet,Coull's Inlet is beautiful on a still early morning.,-37.55502741,149.75569683
120,120,6,Fishing spot,"One of the many fishing spots along the walk. Even if you are not into fishing, it's fun to watch early morning anglers. ",-37.5543857,149.75647464
121,121,6,Goat & other Islands,"Beautiful views abound on the walk. Goat Island, Rabbit Island and more...",-37.5548867,149.75748181
122,122,6,Moored boats,"Over the summer, many camping ground visitors more theri boats along the shore. Boats for fishing, water skiing, bird watching or pleasure.... ",-37.55596274,149.75883736
123,123,6,Mallacoota Foreshore Holiday Park,"The next part of the walk goes through the council caravan park, in summer there is always something to look at.",-37.55765679,149.76054142
124,124,6,To Capt. Stevenson's Point,"If you want, you can take a short detour off the path and follow the water to Capt. Stevenson's Point (or stay on the path up above). ",-37.55880389,149.76208293
125,125,6,Capt. Stevenson's Point,A great spot to look up the inlet or to the mouth (and watch boats go out to sea). You can even see Gabo Island from here.,-37.55896311,149.76277679
126,126,6,Koalas,"If you look carefully you can often see Koalas in the trees, even the odd kangaroo.",-37.56321326,149.76063353
127,127,6,Crossing the inlet,To get across to the beach you have to wade across about 20 meteres of the inlet which is about 45 cm deep. In summer teh water is quite warm so it is very pleasant.,-37.56353629,149.76122618
128,128,6,Dirftwood structure,"This structure that some have built in the sand dune out of driftwood has been there for a while, hope it lasts a while longer!",-37.56474217,149.76335002
129,129,6,Mallacoota beach,"On a clear day the beach is beautiful other times it can be rugged and wild, but no less wonderful. This part is only for strong competent swimmers. But watch the surfers!",-37.56583272,149.7639661
130,130,6,A walking beach,"The beach is certainly great for walking, but can get a bit blowy.",-37.56737151,149.76280479
131,131,6,Patrolled beach,This is the main swimming beach that is patrolled by life savers in the holiday season. Any one for cricket?,-37.56859959,149.76239356
132,132,6,Bastion Point,Rockpools to look at and a good spot for snorkling off teh rocks when the conditions are good.,-37.57302556,149.76522193
133,133,7,Native flowers.,You'll come to a fork in the path. Walk this route as a loop or simply walk along the river till the end and return. Either way there is much to see. We found these feather like flowers. How lovely!,-37.79967412,145.01189486
134,134,7,Beautiful views of the river,There are lots of birds enjoying the river. We saw several different types of birds swimming in the river.,-37.79974223,145.01335696
135,135,7,Duck sanctuary,We saw a mother duck and her young ducklings nestled in a log along the river. A clever nest away from predators and people. She's hard to spot in the photo because we didn't want to get too close!,-37.79952156,145.01296227
136,136,7,Stray fruit bat,We spotted a stray fruit bat in one of the trees. It had clearly fallen behind from the group and was trying to remain hidden from prying eyes. We photographed it from afar so we wouldn't disturb it.,-37.79942231,145.01195971
137,137,7,Still reflections,A lovely view from along the river.,-37.79970261,145.01075061
138,138,7,Ducks and more birds,"Many birds of all sorts can be found near the boat house because they're used to people feeding them, even though feeding birds is harmful (see link).",-37.80109972,145.00777398
139,139,7,Barbeque areas,"The bbq, tables and seats are under sheltered areas. There is plenty of idyllic picnic spots in shady areas close the river. Great spot for a picnic or gathering.",-37.80093337,145.00939645
140,140,7,Signs,So many options! Take your pick.,-37.80074018,145.00962949
141,141,7,Popular route,"We passed several walkers, including children, a couple with a baby (must be a hardy 4 wheeler pram!) and others using the route for exercise.",-37.80023937,145.01032087
142,142,8,Skate Park ,Large skate park ideal for families.,-36.38721717,145.3972147
143,143,8,Jetty ,A jetty to admire the scenic surrounds or do a spot of fishing. ,-36.38929805,145.39713592
144,144,8,BBQ facilities ,Large undercover BBQ facilities.   ,-36.39022992,145.3966398
145,145,8,Cafe by the lake ,A cafe overlooking the lake. ,-36.39071322,145.39631328
146,146,8,Bridge,Walk across the bridge and take in the beautiful surroundings.,-36.39264376,145.39436391
147,147,8,Canoe Club,Canoe hire available from Visitor Information Centre.Canoes can accomodate 2 adults. Kayaks also available.,-36.39234813,145.39311776
148,148,8,Aquamoves,"Aquamoves is an aquatic and leisure centre with facilities such as gym, creche sauna, indoor and outdoor pools. ",-36.38680671,145.39553404
149,149,8,All Abilities Playground,A playground suitable for children and families of all abilities.,-36.38777405,145.39428949
150,150,8,Aquamoves,"Aquamoves is an aquatic and leisure centre with gym and areboic facilities, creche, indoor and outdoor pools. ",-36.38680671,145.39553404
151,151,9,Playground,There is a playground for the children to play on. So the whole family can come to the lake and enjoy the scenery.,-37.76437721,145.35711228
152,152,9,Fitness Station,Fitness equipment to help you in your work out.,-37.76407585,145.35583207
153,153,9,dogs off leash area,Area where you can let your dog off the lead. It also has a creek.,-37.763891,145.3506416
154,154,9,Bird Watching,You can spy on many different varieties of birds in the wetlands.,-37.76688687,145.35495147
155,155,9,Fishing,One of the many good places to fish at the lake.,-37.76672513,145.35556427
156,156,9,Boat Ramp,A place to put your small boat.,-37.76612882,145.3569927
157,157,9,The beach,One of the beaches to relax on or walk along.,-37.7654814,145.35721555
158,158,9,Cashins Mill,"Built in the early 1850s by Hugh Kneen of Fitzroy. After James Cashin Snr died in 1873, the mill was operated by sons James and William.",-37.76257455,145.35273856
159,159,9,Farmers Market,"First Sunday of the month - 8am to 1pm. Bellbird Park (next to Lillydale Lake), Swansea Road, Lilydale.",-37.76689108,145.35673032
160,160,10,Rivers,Be alert for high river levels and fast flowing water which can make the Gorge hazardous.The best walking period lasts from early November until late March.,-37.46287072,146.98292336
161,161,10,Variety of views,The scenic walks take in a range of landscapes.,-37.45111002,146.97924894
162,162,10,Falls,There are three waterfalls along the track.,-37.45333002,146.95501328
163,163,11,Australian Forest Walk,"Features all Australian plants, including sky-high trees and land-dwelling shrubs. ",-37.83335638,144.98227468
164,164,11,Eucalypts ,A collection of over 200 eucalypts; Australia's most iconic trees. ,-37.83314751,144.98378136
165,165,11,Lions Head and Separation Trees,These trees are remnants of the River Red Gum and pre-date European settlement. ,-37.82942366,144.9845459
166,166,11,Lower Yarra River Habitat,An ecological collection which contains Indigenous plants native to the Lower Yarra region. ,-37.82766658,144.98117711
167,167,11,Long Island,A garden which is representative of vegetation pre-European settlement and contains many Indigenous plant species.  ,-37.82752946,144.98083698
168,168,11,Sidney Myer Music Bowl,Attend the free Wellbeing music concert at the Bowl at 12pm after the walk to celebrate the wellbeing of Aboriginal and Torres Strait Islander people. ,-37.82283,144.9755283
169,169,11,Smoking Ceremony,Experience a traditional Indigenous Smoking Ceremony in the midst of the ancestral lands of Kulin nation (allocated times).,-37.82935822,144.9743843
170,170,12,Haven General Store,"Haven shop offers drinks, food, papers, a postal service, liquor and petrol. Workers from nearby businesses often drop in and the locals catch up for a chat.",-36.7474139,142.20050262
171,171,12,Haven Tennis Courts,"Haven has teams in the local Tennis competition in both Juniors and Seniors.  Junior ""Slam and Sweat"" tennis sessions are also conducted here along with midweek competitions.",-36.75783238,142.19330087
172,172,12,Haven Recreation Reserve,"Includes the Haven Hall which is used for a variety of groups such as Playgroup, Exercise classes and the Womens circus.  The Haven Market is held here the first Saturday of the month.",-36.75785586,142.19328464
173,173,12,Black Saturday Monument,A monument recognising the Remlaw fire that went through Haven and cuased much damage in February 2009,-36.75948878,142.19215579
174,174,12,Haven Primary School,"Set partly back from the road, this school provides education for a little under 100 students.  The small numbers and intimate setting is appealing to many.",-36.76068046,142.19133197
175,175,13,Tasma Terrace - 2-12 Parliament Place,The terrace is the headquarters of the National Trust. It comprised important boarding houses from the 1870s. Managing a boarding house was one of the few employment options available to early women.,-37.81166302,144.97539667
176,176,13,the Great Petition sculpture - Burston Reserve ,"This artwork represents a giant petition with 30,000 signatures offered to the Victorian Parliament in 1891 as evidence of widespread support for equal voting rights for women.",-37.81152823,144.97516782
