,index,osm_type,osm_id,lat,lng,name,full_name
474,474,,,,,,
475,475,,,,,,
476,476,,,,,,
477,477,,,,,,
478,478,,,,,,
479,479,,,,,,
480,480,,,,,,
481,481,relation,9221340.0,-37.95034085,145.26190684905754,Churchill National Park,"Churchill National Park, Lysterfield South, Melbourne, City of Casey, Victoria, Australia"
482,482,,,,,,
483,483,,,,,,
484,484,,,,,,
485,485,,,,,,
486,486,,,,,,
487,487,way,39158498.0,-37.952962,145.262188,Stonemasons Track,"Stonemasons Track, Lysterfield South, Melbourne, City of Casey, Victoria, 3802, Australia"
488,488,,,,,,
489,489,,,,,,
490,490,,,,,,
491,491,,,,,,
492,492,,,,,,
493,493,,,,,,
494,494,,,,,,
495,495,,,,,,
496,496,,,,,,
497,497,,,,,,
498,498,,,,,,
499,499,node,331120780.0,-37.9462289,145.2228649,Tirhatuan Park Public Restroom,"Tirhatuan Park Public Restroom, Kriegel Way, Dandenong North, Melbourne, City of Greater Dandenong, Victoria, 3802, Australia"
500,500,,,,,,
501,501,,,,,,
502,502,,,,,,
503,503,,,,,,
504,504,,,,,,
505,505,,,,,,
506,506,,,,,,
507,507,,,,,,
508,508,,,,,,
509,509,,,,,,
510,510,way,1014546400.0,-38.5524763,145.4793007,Bass Coast Rail Trail,"Bass Coast Rail Trail, Kilcunda, Bass Coast Shire, Victoria, 3995, Australia"
511,511,,,,,,
512,512,node,3794145385.0,-38.5531147,145.4662696,Black Head,"Black Head, Victoria, Australia"
513,513,,,,,,
514,514,,,,,,
515,515,way,1014546400.0,-38.5524763,145.4793007,Bass Coast Rail Trail,"Bass Coast Rail Trail, Kilcunda, Bass Coast Shire, Victoria, 3995, Australia"
516,516,,,,,,
517,517,relation,9221700.0,-38.55090475,145.4730202188212,Kilcunda Coastal Reserve,"Kilcunda Coastal Reserve, Kilcunda, Bass Coast Shire, Victoria, 3995, Australia"
518,518,,,,,,
519,519,,,,,,
520,520,,,,,,
521,521,,,,,,
522,522,,,,,,
523,523,,,,,,
524,524,,,,,,
525,525,,,,,,
526,526,,,,,,
527,527,,,,,,
528,528,,,,,,
529,529,,,,,,
530,530,,,,,,
531,531,,,,,,
532,532,,,,,,
533,533,,,,,,
534,534,,,,,,
535,535,,,,,,
536,536,,,,,,
537,537,,,,,,
538,538,,,,,,
539,539,,,,,,
540,540,,,,,,
541,541,node,4464754690.0,-37.7834604,144.8492407,Recwest,"Recwest, 39, Lily Street, Braybrook, Melbourne, City of Maribyrnong, Victoria, 3019, Australia"
542,542,,,,,,
543,543,way,33800613.0,-37.7840869,144.84996098667207,Kinder Smith Reserve,"Kinder Smith Reserve, Braybrook, Melbourne, City of Maribyrnong, Victoria, 3019, Australia"
544,544,,,,,,
545,545,,,,,,
546,546,,,,,,
547,547,,,,,,
548,548,,,,,,
549,549,,,,,,
550,550,,,,,,
551,551,,,,,,
552,552,,,,,,
553,553,,,,,,
554,554,,,,,,
555,555,,,,,,
556,556,,,,,,
557,557,,,,,,
558,558,,,,,,
559,559,,,,,,
560,560,,,,,,
561,561,,,,,,
